客户编号	开户日期	到期日期	产品标的	收益率	统计时点	账户市值
0	14	2018-11-14	2038/12/4	LH198688	0.000000	2018/11/30	2.000000e+07
1	14	2018-11-29	2038/12/4	LH198688	0.000000	2018/11/30	5.000000e+07
2	19	2018-11-16	2043/7/30	LH1990030	0.038000	2018/11/30	6.000000e+07
3	19	2018-11-21	2043/7/30	LH1990030	0.038000	2018/11/30	3.000000e+07
4	63	2018-11-02	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+07
5	67	2018-11-30	2045/5/8	LH1991030	0.039000	2018/11/30	2.500000e+07
6	103	2018-11-05	1900/1/0	LH1999035	0.038200	2018/11/30	2.000000e+06
7	103	2018-11-05	2037/3/11	LH199250	0.000000	2018/11/30	5.014817e+06
8	103	2018-11-07	2050/9/1	LH197002	0.032200	2018/11/30	6.000000e+06
9	103	2018-11-13	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+06
10	103	2018-11-28	2048/7/31	LH1980008	0.034267	2018/11/30	3.000000e+06
11	106	2018-11-13	2038/12/5	LH198699	0.000000	2018/11/30	3.500000e+07
12	134	2018-11-26	1900/1/0	LH1999035	0.038200	2018/11/30	2.000000e+06
13	167	2018-11-01	1900/1/0	LH1999182	0.045200	2018/11/30	3.400000e+08
14	173	2018-11-30	2038/12/5	LH198699	0.000000	2018/11/30	1.290000e+08
15	175	2018-11-07	2050/9/1	LH197002	0.032200	2018/11/30	2.300000e+07
16	224	2018-11-05	1900/1/0	LH1998091	0.040200	2018/11/30	1.500000e+07
17	224	2018-11-20	1900/1/0	LH1998063	0.039200	2018/11/30	2.500000e+07
18	236	2018-11-02	2048/7/31	LH1980008	0.034267	2018/11/30	1.000000e+08
19	254	2018-11-22	2045/5/11	LH197008	0.036669	2018/11/30	1.300000e+06
20	255	2018-11-21	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+07
21	255	2018-11-30	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+07
22	309	2018-11-29	2043/7/30	LH1990014	0.035500	2018/11/30	2.000000e+06
23	349	2018-11-14	2043/7/30	LH1990060	0.038500	2018/11/30	2.000000e+06
24	349	2018-11-21	2043/7/30	LH1990030	0.038000	2018/11/30	2.000000e+07
25	349	2018-11-21	2043/7/30	LH1990060	0.038500	2018/11/30	2.000000e+06
26	354	2018-11-21	2045/5/11	LH197008	0.036669	2018/11/30	5.000000e+06
27	356	2018-11-16	2043/7/30	LH1990021	0.036000	2018/11/30	1.000000e+06
28	356	2018-11-29	2043/7/30	LH1990007	0.035000	2018/11/30	1.000000e+06
29	389	2018-11-27	2038/12/4	LH198688	0.000000	2018/11/30	2.000000e+07
30	389	2018-11-29	2038/12/4	LH198688	0.000000	2018/11/30	1.800000e+07
31	389	2018-11-30	2038/12/4	LH198688	0.000000	2018/11/30	1.300000e+07
32	398	2018-11-14	1900/1/0	LH1998091	0.040200	2018/11/30	2.000000e+06
33	430	2018-11-14	2038/12/4	LH198688	0.000000	2018/11/30	5.000000e+04
34	444	2018-11-12	1900/1/0	LH1999035	0.038200	2018/11/30	5.000000e+06
35	451	2018-11-06	2040/1/10	LH197007	0.027300	2018/11/30	5.000000e+06
36	453	2018-11-08	2038/12/5	LH198699	0.000000	2018/11/30	5.000000e+06
37	453	2018-11-20	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+07
38	453	2018-11-27	2038/12/5	LH198699	0.000000	2018/11/30	2.000000e+07
39	477	2018-11-29	2040/1/10	LH197007	0.027300	2018/11/30	4.030000e+06
40	483	2018-11-30	2040/1/10	LH197007	0.027300	2018/11/30	1.000000e+06
41	486	2018-11-02	2048/7/31	LH1980008	0.034267	2018/11/30	9.600000e+06
42	486	2018-11-29	2043/7/30	LH1990014	0.035500	2018/11/30	2.000000e+07
43	486	2018-11-30	2043/7/30	LH1990007	0.035000	2018/11/30	5.000000e+06
44	506	2018-11-28	2038/12/4	LH198688	0.000000	2018/11/30	9.000000e+05
45	558	2018-11-13	2038/12/5	LH198699	0.000000	2018/11/30	1.000000e+07
46	560	2018-11-30	2045/10/30	LH1992090	0.040000	2018/11/30	4.300000e+07
47	574	2018-11-21	2038/12/4	LH198688	0.000000	2018/11/30	1.980000e+06
48	574	2018-11-30	2038/12/4	LH198688	0.000000	2018/11/30	2.970000e+07
